id,category,title,brand,price_raw,price_numeric,currency,unit,moq,supplier_name,location,rating,num_reviews,lead_time_days,product_url,listed_at,description,price_per_moq
P000001,Construction Equipment,Metro Components Product P-104,Metro Components,"INR 3,480.0 per set",3480.0,INR,set,10,Metro Components (and Sons),"Bengaluru, Karnataka",3.5,13,30,https://example.com/construction-equipment/1,2025-09-04T20:41:46.987237,Consequuntur aut qui molestias nihil adipisci atque doloremque nobis natus.,348.0
P000002,Packaging,Vijay Industries Corrugated Box Single Wall,Vijay Industries,INR 69.0 per set,69.0,INR,set,100,Vijay Industries (Ltd),"Faridabad, Haryana",4.3,71,3,https://example.com/packaging/2,2024-11-20T20:41:46.987399,In ipsum eius sit quis cum in eius dolor quis aut fugit facere exercitationem eaque.,0.69
P000003,Construction Equipment,OmniPack Product P-078,OmniPack,"INR 42,530.0 per pack",42530.0,INR,pack,10,OmniPack (Inc),"Pune, Maharashtra",4.7,0,3,https://example.com/construction-equipment/3,2024-10-26T20:41:46.987506,Aspernatur eos occaecati suscipit facere deleniti architecto optio quo voluptates sequi sint.,4253.0
P000004,Chemical Supplies,Suresh Fabrics Industrial Solvent S-647,Suresh Fabrics,"INR 57,020.0 per kg",57020.0,INR,kg,1,Suresh Fabrics (Ltd),"Delhi, Delhi",3.4,12,7,https://example.com/chemical-supplies/4,2025-04-25T20:41:46.987588,Cum explicabo pariatur praesentium placeat architecto odio modi doloribus iure earum unde.,57020.0
P000005,Packaging,GigaElectro Corrugated Box Single Wall,GigaElectro,"INR 1,462.0 per piece",1462.0,INR,piece,1000,GigaElectro (Ltd),"Hyderabad, Telangana",3.3,37,30,https://example.com/packaging/5,2025-04-16T20:41:46.987669,Dolor eveniet quisquam animi reprehenderit rem illo architecto totam necessitatibus quaerat distinctio libero suscipit odit.,1.462
P000006,Packaging,Nova Chemicals Corrugated Box Single Wall,Nova Chemicals,INR 101.0 per kg,101.0,INR,kg,100,Nova Chemicals (and Sons),"Delhi, Delhi",4.7,110,1,https://example.com/packaging/6,2025-04-07T20:41:46.987722,Consequuntur quia molestiae quia incidunt nesciunt facere voluptatum consequuntur laudantium quidem.,1.01
P000007,Textiles,Mahadev Works Cotton Fabric Knitted,Mahadev Works,"INR 4,179.0 per kg",4179.0,INR,kg,50,Mahadev Works (Inc),"Ahmedabad, Gujarat",3.6,34,1,https://example.com/textiles/7,2024-12-11T20:41:46.987767,Occaecati recusandae in aperiam fugit voluptatum minus voluptas similique.,83.58
P000008,Construction Equipment,PrimeTextiles Product P-018,PrimeTextiles,"INR 53,880.0 per set",53880.0,INR,set,1,PrimeTextiles (LLC),"Kolkata, West Bengal",3.9,118,30,https://example.com/construction-equipment/8,2025-06-28T20:41:46.987845,Beatae ipsa iste veritatis soluta ea magnam debitis totam sit error odit.,53880.0
P000009,Construction Equipment,Suresh Fabrics Product P-932,Suresh Fabrics,"INR 84,440.0 per set",84440.0,INR,set,1,Suresh Fabrics (LLC),"Mumbai, Maharashtra",4.6,51,7,https://example.com/construction-equipment/9,2025-09-15T20:41:46.987908,Molestiae quod minus a eum accusantium ut soluta rerum.,84440.0
P000010,Electronics,RoboMach Industrial Motor M-430,RoboMach,"INR 43,880.0 per set",43880.0,INR,set,10,RoboMach (and Sons),"Kolkata, West Bengal",3.9,117,14,https://example.com/electronics/10,2025-08-06T20:41:46.987965,Veniam assumenda laborum architecto quis quisquam consectetur labore mollitia eaque sit incidunt distinctio molestiae quas.,4388.0
